Englisch,Deutsch,"Key (optional, english is fallback"
en,de,language code
Do you want to start the tutorial?<br/>It takes only 5-10 minutes of your time.,Möchtest du das Tutorial starten?<br/>Es hilft dir beim Einstieg und nimmt maximal 5-10 Minuten deiner Zeit in Anspruch.,start tutorial question
Yes,Ja,
No,Nein,
Settings,Einstellungen,
Diagram,Diagramm,
Saved Diagrams,Gespeicherte Diagramme,
This browser does not support JavaScript or JavaScript is not activated,Dieser Browser unterstützt kein JavaScript oder es ist deaktiviert bzw. geblockt.,javascript error 1
You must activate JavaScript or use an up to date browser,Diese Seite erfordert jedoch JavaScript. Aktivieren Sie JavaScript oder verwenden Sie einen aktuellen Browser,javascript error 2
e.g.,z.B.,example given
This webinterface is optimized for Mozilla Firefox and Chrome. For other browsers a full functionality is not guaranteed!,Das Webinterface wurde für die Browser Mozilla Firefox und Chromium/Google Chrome optimiert. Eine fehlerfreie Funktion kann unter anderen Browsern nicht garantiert werden!,browser warning
"With Cosmic@Web's online analysis tools, you can easily analyse real experimental data from a global network of cosmic particle detectors. Read more about the tools of Cosmic@Web in the <a href=https://www.desy.de/school/school_lab/zeuthen_site/cosmic_particles/cosmicweb/documentation/index_eng.html>documentation</a>. <a class=""startTutorial"" href=""#"">The tutorial</a> explains how to start with an analysis. Introductory materials to the topic of <a href=https://www.desy.de/school/school_lab/zeuthen_site/cosmic_particles/index_eng.html>cosmic particles</a> and description of the <a href=https://www.desy.de/school/school_lab/zeuthen_site/cosmic_particles/experiments/index_eng.html>experiments</a> can be found on the websites. <a href=https://www.desy.de/school/school_lab/zeuthen_site/cosmic_particles/scientific_work/index_eng.html>Work like a real scientist</a> and do your own astroparticle research!","Cosmic@Web ist ein Tool zur Online-Analyse von Daten aus einem globalen Netzwerk von Detektoren zur Messung kosmischer Teilchen. Eine Beschreibung der einzelnen Tools findet sich in der <a href=https://www.desy.de/schule/schuelerlabore/standort_zeuthen/kosmische_teilchen/cosmicweb/dokumentation/index_ger.html>Dokumentation</a>. Wie man mit einer Analyse beginnen kann zeigt ein <a class=""startTutorial"" href=""#"">Tutorial</a>. Einführendes Material zum Thema <a href=https://www.desy.de/schule/schuelerlabore/standort_zeuthen/kosmische_teilchen/index_ger.html>kosmische Teilchen</a> und Beschreibung der <a href=http://www.desy.de/schule/schuelerlabore/standort_zeuthen/kosmische_teilchen/experimente/index_ger.html>Experimente</a> findest du auf den Webseiten. <a href=https://www.desy.de/schule/schuelerlabore/standort_zeuthen/kosmische_teilchen/wissenschaftlich_arbeiten/index_ger.html>Arbeite wie ein echter Wissenschaftler</a> und mache deine eigene Forschung in der Astroteilchenphysik!",more information
Cosmic@Web manual (still in German),Anleitung zum Arbeiten mit Cosmic@Web,cosmic at web manual
Start Tutorial,Tutorial starten,
Diagram Creation,Einstellungen für das Diagramm,
Setting of detail level,Einstellungsmodi,detail level
Detailed,Erweitert,
Avaliable Variables,verfügbare Variablen,
Click here to remove the diagram settings,"um diese Diagrammeinstellungen zu entfernen, hier klicken",delete plot
Data Set,Datenreihe,
"Title of the diagram, will be shown in diagram's legend","Name des Diagramms, wird in der Legende angezeigt",diagram title help
Diagram Title,Bezeichnung,
Defines the display format of data. More information about diagram types in the manual,"legt fest, in welcher Form die Daten dargestellt werden. Nähere Informationen zu den Diagrammtypen gibt es in der Anleitung",diagram type help
xy-Diagram,xy-Diagramm,
Profile,Profil,
Map,Karte,
Select Data Set,Datenauswahl,
Diagram Type,Darstellungsform,
Choose Variables,Auswahl der Variablen,
Value shown at the x-axis. On can choose a given variable name (e.g. time) or a formula which transforms given variables (e.g. T_a-T_i oder log(p)),"Wert, der auf der x-achse dargestellt werden soll. Hier kann ein Variablenname eingegeben werden (z.B. time) oder eine Formel, die Variablen umrechnet oder miteinander verknüpft (z.B. T_a-T_i oder log(p))",variable helpx
Value shown at the y-axis. On can choose a given variable name (e.g. time) or a formula which transforms given variables (e.g. T_a-T_i oder log(p)),"Wert, der auf der y-achse dargestellt werden soll. Hier kann ein Variablenname eingegeben werden (z.B. time) oder eine Formel, die Variablen umrechnet oder miteinander verknüpft (z.B. T_a-T_i oder log(p))",variable helpy
Value shown at the z-axis. On can choose a given variable name (e.g. time) or a formula which transforms given variables (e.g. T_a-T_i oder log(p)),"Wert, der auf der z-achse dargestellt werden soll. Hier kann ein Variablenname eingegeben werden (z.B. time) oder eine Formel, die Variablen umrechnet oder miteinander verknüpft (z.B. T_a-T_i oder log(p))",variable helpz
"Binning of the x-axis. One number n means, that the data are shown in n bins (e.g. 10 produces 10 bins). Three numbers, separated by a commata (a,b,n) produces n bins starting on the left with a and ends on the right with bin b. With more than three numbers one can show several goups of binning.","Unterteilung der x-Achse in Bins. Angabe einer Zahl n bedeutet, dass automatisch n Bins gewählt werden, die die Daten enthalten (z.B. 10 erzeugt 10 Bins). Angabe von drei durch Komma getrennten Zahlen a,b,n erzeugt n Bins mit linker Kante a und rechter Kante b. Angabe von mehr als drei durch Komma getrennten Zahlen erzeugt Bins mit den Binkanten auf den angegebenen Werten",bin number helpx
"Binning of the y-axis. One number n means, that the data are shown in n bins (e.g. 10 produces 10 bins). Three numbers, separated by a commata (a,b,n) produces n bins starting on the left with a and ends on the right with bin b. With more than three numbers one can show several goups of binning.","Unterteilung der y-Achse in Bins. Angabe einer Zahl n bedeutet, dass automatisch n Bins gewählt werden, die die Daten enthalten (z.B. 10 erzeugt 10 Bins). Angabe von drei durch Komma getrennten Zahlen a,b,n erzeugt n Bins mit linker Kante a und rechter Kante b. Angabe von mehr als drei durch Komma getrennten Zahlen erzeugt Bins mit den Binkanten auf den angegebenen Werten",bin number helpy
